,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.7313432835820896,0.7542735042735043,0.7047146401985112,1.557926893234253
1,Bagging Classifier,0.8163030998851895,0.8482905982905983,0.7791563275434243,1154.4501414299011
2,Logistic Regression,0.8185993111366245,0.8461538461538461,0.7866004962779156,4.169028043746948
3,Random Forest,0.8071182548794489,0.8525641025641025,0.7543424317617866,16.688452005386353
4,Support Vector Machine,0.8117106773823192,0.8376068376068376,0.7816377171215881,10.894533634185791
5,Gradient Boosting Machines,0.7979334098737084,0.8333333333333334,0.7568238213399504,9.813842535018921
6,AdaBoost,0.7887485648679678,0.8055555555555556,0.7692307692307693,291.08802556991577
7,K-Nearest Neighbors,0.7887485648679678,0.7692307692307693,0.8114143920595533,0.17716121673583984
8,Naive Bayes,0.582089552238806,0.5833333333333334,0.5806451612903226,0.057051658630371094
9,Neural Networks,0.8071182548794489,0.8247863247863247,0.7866004962779156,150.904310464859
10,LinearDiscriminantAnalysis,0.8059701492537313,0.8226495726495726,0.7866004962779156,89.90690803527832
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.019016742706298828
12,ExtraTreesClassifier,0.8048220436280138,0.8653846153846154,0.7344913151364765,60.967312812805176
