,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.711825487944891,0.7222222222222222,0.6997518610421837,0.21236610412597656
1,Bagging Classifier,0.8185993111366245,0.8547008547008547,0.7766749379652605,6.160764455795288
2,Logistic Regression,0.7979334098737084,0.811965811965812,0.7816377171215881,0.039035797119140625
3,Random Forest,0.7864523536165328,0.9871794871794872,0.5533498759305211,4.9835429191589355
4,Support Vector Machine,0.8231917336394948,0.8397435897435898,0.8039702233250621,0.6178131103515625
5,Gradient Boosting Machines,0.7554535017221584,0.8675213675213675,0.6253101736972705,4.330578804016113
6,AdaBoost,0.7370838117106774,0.7649572649572649,0.7047146401985112,34.75766706466675
7,K-Nearest Neighbors,0.7784156142365097,0.8076923076923077,0.7444168734491315,0.016014575958251953
8,Naive Bayes,0.7416762342135477,0.8034188034188035,0.6699751861042184,0.0030024051666259766
9,Neural Networks,0.8059701492537313,0.9102564102564102,0.684863523573201,2.0728838443756104
10,LinearDiscriminantAnalysis,0.7611940298507462,0.8418803418803419,0.6674937965260546,0.08107352256774902
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.0010008811950683594
12,ExtraTreesClassifier,0.7726750861079219,1.0,0.5086848635235732,17.555675506591797
