,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.7095292766934558,0.7200854700854701,0.6972704714640199,0.23821616172790527
1,Bagging Classifier,0.8025258323765786,0.7884615384615384,0.8188585607940446,4.227842092514038
2,Logistic Regression,0.8025258323765786,0.7948717948717948,0.8114143920595533,0.012010574340820312
3,Random Forest,0.7807118254879449,0.9807692307692307,0.5483870967741935,4.913931846618652
4,Support Vector Machine,0.8277841561423651,0.8525641025641025,0.7990074441687345,1.025932788848877
5,Gradient Boosting Machines,0.764638346727899,0.8867521367521367,0.6228287841191067,3.7641255855560303
6,AdaBoost,0.764638346727899,0.8012820512820513,0.7220843672456576,31.859708786010742
7,K-Nearest Neighbors,0.7921928817451206,0.8547008547008547,0.7196029776674938,0.01201009750366211
8,Naive Bayes,0.7520091848450058,0.8012820512820513,0.6947890818858561,0.003002643585205078
9,Neural Networks,0.801377726750861,0.8290598290598291,0.7692307692307693,12.540116786956787
10,LinearDiscriminantAnalysis,0.7703788748564868,0.8525641025641025,0.674937965260546,0.21219301223754883
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.0030031204223632812
12,ExtraTreesClassifier,0.7680826636050516,1.0,0.4987593052109181,21.191152572631836
