,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.7416762342135477,0.7478632478632479,0.7344913151364765,10.372441530227661
1,Bagging Classifier,0.817451205510907,0.8846153846153846,0.739454094292804,1168.7829055786133
2,Logistic Regression,0.8128587830080367,0.8824786324786325,0.7320099255583127,0.3105804920196533
3,Random Forest,0.7910447761194029,0.9337606837606838,0.6253101736972705,6.704145669937134
4,Support Vector Machine,0.8048220436280138,0.8803418803418803,0.71712158808933,5.793895959854126
5,Gradient Boosting Machines,0.799081515499426,0.9294871794871795,0.6476426799007444,9.801732063293457
6,AdaBoost,0.7898966704936854,0.8717948717948718,0.6947890818858561,294.2661781311035
7,K-Nearest Neighbors,0.7761194029850746,0.8739316239316239,0.6625310173697271,0.23221850395202637
8,Naive Bayes,0.5327210103329506,0.4658119658119658,0.6104218362282878,0.18617606163024902
9,Neural Networks,0.8254879448909299,0.8739316239316239,0.7692307692307693,155.65267896652222
10,LinearDiscriminantAnalysis,0.8025258323765786,0.8504273504273504,0.7468982630272953,71.86512112617493
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.008007287979125977
12,ExtraTreesClassifier,0.7772675086107922,0.9487179487179487,0.5781637717121588,56.8733127117157
