,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.6796785304247991,0.6901709401709402,0.6674937965260546,0.18609023094177246
1,Bagging Classifier,0.7588978185993112,0.782051282051282,0.7320099255583127,9.050639629364014
2,Logistic Regression,0.7416762342135477,0.7628205128205128,0.71712158808933,0.09208393096923828
3,Random Forest,0.7692307692307693,0.9358974358974359,0.575682382133995,2.7284367084503174
4,Support Vector Machine,0.7554535017221584,0.8183760683760684,0.6823821339950372,0.5114645957946777
5,Gradient Boosting Machines,0.7692307692307693,0.8632478632478633,0.6600496277915633,3.8303768634796143
6,AdaBoost,0.7588978185993112,0.7948717948717948,0.71712158808933,32.68747854232788
7,K-Nearest Neighbors,0.7680826636050516,0.8547008547008547,0.6674937965260546,0.01601696014404297
8,Naive Bayes,0.5671641791044776,0.41452991452991456,0.7444168734491315,0.006005287170410156
9,Neural Networks,0.756601607347876,0.7756410256410257,0.7344913151364765,14.602123737335205
10,LinearDiscriminantAnalysis,0.7405281285878301,0.7585470085470085,0.7196029776674938,0.09012341499328613
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.0041348934173583984
12,ExtraTreesClassifier,0.7588978185993112,0.9700854700854701,0.5136476426799007,16.18319058418274
