,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.7233065442020666,0.6794871794871795,0.7741935483870968,0.272491455078125
1,Bagging Classifier,0.8197474167623421,0.7970085470085471,0.8461538461538461,6.53533673286438
2,Logistic Regression,0.8117106773823192,0.7863247863247863,0.8411910669975186,0.02101898193359375
3,Random Forest,0.7543053960964409,0.6645299145299145,0.858560794044665,2.745488405227661
4,Support Vector Machine,0.8082663605051664,0.7970085470085471,0.8213399503722084,0.5054593086242676
5,Gradient Boosting Machines,0.7428243398392652,0.6923076923076923,0.8014888337468983,3.600757122039795
6,AdaBoost,0.7600459242250287,0.7329059829059829,0.7915632754342432,37.468997955322266
7,K-Nearest Neighbors,0.748564867967853,0.6602564102564102,0.8511166253101737,0.014013528823852539
8,Naive Bayes,0.7324913892078071,0.7264957264957265,0.739454094292804,0.002001523971557617
9,Neural Networks,0.8185993111366245,0.7948717948717948,0.8461538461538461,1.4416115283966064
10,LinearDiscriminantAnalysis,0.7680826636050516,0.7478632478632479,0.7915632754342432,0.08607816696166992
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.002002239227294922
12,ExtraTreesClassifier,0.7393800229621125,0.6217948717948718,0.8759305210918115,17.18924570083618
