,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.6659012629161883,0.6196581196581197,0.7196029776674938,0.18819904327392578
1,Bagging Classifier,0.8105625717566016,0.8034188034188035,0.8188585607940446,5.040018081665039
2,Logistic Regression,0.817451205510907,0.8012820512820513,0.8362282878411911,0.02201986312866211
3,Random Forest,0.7715269804822044,0.9893162393162394,0.5186104218362283,2.670130491256714
4,Support Vector Machine,0.7967853042479908,0.8269230769230769,0.7617866004962779,0.6485888957977295
5,Gradient Boosting Machines,0.7669345579793341,0.9038461538461539,0.607940446650124,3.498950481414795
6,AdaBoost,0.7680826636050516,0.8162393162393162,0.7121588089330024,33.85418367385864
7,K-Nearest Neighbors,0.7772675086107922,0.8290598290598291,0.71712158808933,0.01701498031616211
8,Naive Bayes,0.748564867967853,0.7884615384615384,0.7022332506203474,0.005004167556762695
9,Neural Networks,0.8036739380022963,0.7905982905982906,0.8188585607940446,9.763802289962769
10,LinearDiscriminantAnalysis,0.7898966704936854,0.8824786324786325,0.6823821339950372,0.6255688667297363
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.00800776481628418
12,ExtraTreesClassifier,0.7669345579793341,1.0,0.49627791563275436,18.241329431533813
