,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.7210103329506314,0.7542735042735043,0.6823821339950372,10.705514430999756
1,Bagging Classifier,0.8071182548794489,0.8760683760683761,0.7270471464019851,444.6954617500305
2,Logistic Regression,0.8036739380022963,0.8418803418803419,0.7593052109181141,18.19665503501892
3,Random Forest,0.7715269804822044,0.9807692307692307,0.5285359801488834,40.6597740650177
4,Support Vector Machine,0.8094144661308841,0.905982905982906,0.6972704714640199,331.0012285709381
5,Gradient Boosting Machines,0.7738231917336394,0.905982905982906,0.6203473945409429,11.305340051651001
6,AdaBoost,0.7543053960964409,0.8034188034188035,0.6972704714640199,291.56275177001953
7,K-Nearest Neighbors,0.7370838117106774,0.5683760683760684,0.9330024813895782,0.12411236763000488
8,Naive Bayes,0.8036739380022963,0.8675213675213675,0.7295285359801489,0.04003572463989258
9,Neural Networks,0.748564867967853,0.5576923076923077,0.9702233250620348,9.746744394302368
10,LinearDiscriminantAnalysis,0.8197474167623421,0.8717948717948718,0.7593052109181141,129.66878533363342
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.009007692337036133
12,ExtraTreesClassifier,0.7692307692307693,0.9978632478632479,0.5037220843672456,133.7119266986847
