,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.677382319173364,0.6837606837606838,0.6699751861042184,0.5094621181488037
1,Bagging Classifier,0.7554535017221584,0.7799145299145299,0.7270471464019851,7.167843580245972
2,Logistic Regression,0.7508610792192881,0.7799145299145299,0.71712158808933,0.058972835540771484
3,Random Forest,0.7600459242250287,0.9423076923076923,0.5483870967741935,2.6951937675476074
4,Support Vector Machine,0.7600459242250287,0.7927350427350427,0.7220843672456576,0.4904460906982422
5,Gradient Boosting Machines,0.7577497129735936,0.8632478632478633,0.6352357320099256,3.9103028774261475
6,AdaBoost,0.7439724454649828,0.7628205128205128,0.7220843672456576,46.31782531738281
7,K-Nearest Neighbors,0.764638346727899,0.8183760683760684,0.7022332506203474,0.016014575958251953
8,Naive Bayes,0.695752009184845,0.6709401709401709,0.7245657568238213,0.006005525588989258
9,Neural Networks,0.5694603903559128,0.4444444444444444,0.7146401985111662,1.6283323764801025
10,LinearDiscriminantAnalysis,0.7244546498277842,0.7457264957264957,0.6997518610421837,0.13912653923034668
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.007006406784057617
12,ExtraTreesClassifier,0.7600459242250287,0.9807692307692307,0.5037220843672456,17.896307706832886
