,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.6865671641791045,0.6431623931623932,0.7369727047146402,0.2502269744873047
1,Bagging Classifier,0.7807118254879449,0.844017094017094,0.707196029776675,5.6745476722717285
2,Logistic Regression,0.7772675086107922,0.782051282051282,0.771712158808933,0.010009288787841797
3,Random Forest,0.7703788748564868,0.9658119658119658,0.543424317617866,3.4502882957458496
4,Support Vector Machine,0.7795637198622273,0.8311965811965812,0.7196029776674938,0.5505006313323975
5,Gradient Boosting Machines,0.7669345579793341,0.8696581196581197,0.6476426799007444,3.7479372024536133
6,AdaBoost,0.7520091848450058,0.7713675213675214,0.7295285359801489,46.469035148620605
7,K-Nearest Neighbors,0.7336394948335246,0.5085470085470085,0.9950372208436724,0.015013933181762695
8,Naive Bayes,0.7313432835820896,0.7628205128205128,0.6947890818858561,0.0050046443939208984
9,Neural Networks,0.7738231917336394,0.75,0.8014888337468983,2.2580513954162598
10,LinearDiscriminantAnalysis,0.7634902411021814,0.9145299145299145,0.5880893300248139,0.14012718200683594
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.0020017623901367188
12,ExtraTreesClassifier,0.7715269804822044,0.9914529914529915,0.5161290322580645,17.639841318130493
