,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.7106773823191733,0.7115384615384616,0.7096774193548387,0.3039054870605469
1,Bagging Classifier,0.7634902411021814,0.7478632478632479,0.7816377171215881,3.640737295150757
2,Logistic Regression,0.7669345579793341,0.7564102564102564,0.7791563275434243,0.011010408401489258
3,Random Forest,0.7657864523536165,0.9658119658119658,0.533498759305211,3.999340057373047
4,Support Vector Machine,0.7634902411021814,0.8653846153846154,0.6451612903225806,0.5054593086242676
5,Gradient Boosting Machines,0.7669345579793341,0.8910256410256411,0.6228287841191067,4.3272223472595215
6,AdaBoost,0.7347876004592423,0.7756410256410257,0.6873449131513648,41.93168640136719
7,K-Nearest Neighbors,0.756601607347876,0.7350427350427351,0.7816377171215881,0.01501321792602539
8,Naive Bayes,0.7474167623421355,0.8012820512820513,0.684863523573201,0.0040035247802734375
9,Neural Networks,0.7761194029850746,0.8782051282051282,0.6575682382133995,3.215806484222412
10,LinearDiscriminantAnalysis,0.7623421354764638,0.8952991452991453,0.607940446650124,0.09708786010742188
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.0010004043579101562
12,ExtraTreesClassifier,0.7703788748564868,0.9957264957264957,0.5086848635235732,17.395427227020264
