,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.7198622273249139,0.7649572649572649,0.6674937965260546,0.2692446708679199
1,Bagging Classifier,0.7749712973593571,0.8376068376068376,0.7022332506203474,7.938212156295776
2,Logistic Regression,0.7531572904707233,0.75,0.7568238213399504,0.017015457153320312
3,Random Forest,0.7841561423650976,0.9102564102564102,0.6377171215880894,2.9417855739593506
4,Support Vector Machine,0.7680826636050516,0.8183760683760684,0.7096774193548387,0.5845305919647217
5,Gradient Boosting Machines,0.7795637198622273,0.8589743589743589,0.6873449131513648,3.5921642780303955
6,AdaBoost,0.764638346727899,0.7649572649572649,0.7642679900744417,45.29158091545105
7,K-Nearest Neighbors,0.7692307692307693,0.9978632478632479,0.5037220843672456,0.014012575149536133
8,Naive Bayes,0.5419058553386912,0.49145299145299143,0.6004962779156328,0.003002166748046875
9,Neural Networks,0.7956371986222732,0.8675213675213675,0.7121588089330024,2.8890082836151123
10,LinearDiscriminantAnalysis,0.764638346727899,0.8931623931623932,0.6153846153846154,0.11510467529296875
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.0020017623901367188
12,ExtraTreesClassifier,0.7669345579793341,0.9038461538461539,0.607940446650124,17.751424074172974
