,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.7003444316877153,0.7094017094017094,0.6898263027295285,0.4454047679901123
1,Bagging Classifier,0.7634902411021814,0.7478632478632479,0.7816377171215881,3.6972386837005615
2,Logistic Regression,0.7577497129735936,0.7564102564102564,0.7593052109181141,0.015017509460449219
3,Random Forest,0.7657864523536165,0.9786324786324786,0.5186104218362283,3.5031027793884277
4,Support Vector Machine,0.7795637198622273,0.8910256410256411,0.6501240694789082,0.675614595413208
5,Gradient Boosting Machines,0.7669345579793341,0.9294871794871795,0.5781637717121588,4.119033575057983
6,AdaBoost,0.7508610792192881,0.811965811965812,0.6799007444168734,39.36735677719116
7,K-Nearest Neighbors,0.7680826636050516,0.8376068376068376,0.6873449131513648,0.011010408401489258
8,Naive Bayes,0.5510907003444316,0.4700854700854701,0.6451612903225806,0.0030024051666259766
9,Neural Networks,0.7715269804822044,0.8675213675213675,0.6600496277915633,2.4875082969665527
10,LinearDiscriminantAnalysis,0.7623421354764638,0.9188034188034188,0.5806451612903226,0.09208273887634277
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.0020020008087158203
12,ExtraTreesClassifier,0.7600459242250287,0.9850427350427351,0.4987593052109181,18.42606472969055
