,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.7278989667049368,0.7307692307692307,0.7245657568238213,0.25423121452331543
1,Bagging Classifier,0.8105625717566016,0.8311965811965812,0.7866004962779156,65.68014645576477
2,Logistic Regression,0.8071182548794489,0.8205128205128205,0.7915632754342432,0.13312029838562012
3,Random Forest,0.7979334098737084,0.8482905982905983,0.739454094292804,4.809518098831177
4,Support Vector Machine,0.7979334098737084,0.8290598290598291,0.7617866004962779,2.352414608001709
5,Gradient Boosting Machines,0.8048220436280138,0.8525641025641025,0.749379652605459,5.926642417907715
6,AdaBoost,0.8071182548794489,0.8376068376068376,0.771712158808933,47.4576313495636
7,K-Nearest Neighbors,0.764638346727899,0.7777777777777778,0.749379652605459,0.022019147872924805
8,Naive Bayes,0.574052812858783,0.5448717948717948,0.607940446650124,0.006005525588989258
9,Neural Networks,0.799081515499426,0.8098290598290598,0.7866004962779156,15.170276165008545
10,LinearDiscriminantAnalysis,0.7956371986222732,0.8162393162393162,0.771712158808933,0.2252042293548584
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.0020017623901367188
12,ExtraTreesClassifier,0.8071182548794489,0.8760683760683761,0.7270471464019851,22.871703386306763
