,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.6888633754305397,0.7457264957264957,0.6228287841191067,0.07807159423828125
1,Bagging Classifier,0.7967853042479908,0.8055555555555556,0.7866004962779156,7.821739435195923
2,Logistic Regression,0.7887485648679678,0.7948717948717948,0.7816377171215881,0.053048133850097656
3,Random Forest,0.7669345579793341,0.9487179487179487,0.5558312655086849,2.5523197650909424
4,Support Vector Machine,0.7818599311136625,0.8162393162393162,0.7419354838709677,0.5074610710144043
5,Gradient Boosting Machines,0.7715269804822044,0.8717948717948718,0.6550868486352357,2.6243855953216553
6,AdaBoost,0.7474167623421355,0.7841880341880342,0.7047146401985112,15.12474536895752
7,K-Nearest Neighbors,0.7784156142365097,0.8696581196581197,0.6724565756823822,0.005004405975341797
8,Naive Bayes,0.7324913892078071,0.8055555555555556,0.6476426799007444,0.0010006427764892578
9,Neural Networks,0.7818599311136625,0.7863247863247863,0.7766749379652605,2.4792520999908447
10,LinearDiscriminantAnalysis,0.7508610792192881,0.811965811965812,0.6799007444168734,0.02302074432373047
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.0010008811950683594
12,ExtraTreesClassifier,0.7623421354764638,0.9935897435897436,0.49379652605459057,14.540214776992798
