,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.677382319173364,0.6730769230769231,0.6823821339950372,0.13412213325500488
1,Bagging Classifier,0.7451205510907003,0.7542735042735043,0.7344913151364765,17.233335733413696
2,Logistic Regression,0.7531572904707233,0.7542735042735043,0.7518610421836228,1.210099458694458
3,Random Forest,0.748564867967853,0.8568376068376068,0.6228287841191067,2.5478127002716064
4,Support Vector Machine,0.7451205510907003,0.7649572649572649,0.7220843672456576,0.4013640880584717
5,Gradient Boosting Machines,0.7497129735935706,0.8183760683760684,0.6699751861042184,3.0297532081604004
6,AdaBoost,0.7474167623421355,0.7670940170940171,0.7245657568238213,18.212551593780518
7,K-Nearest Neighbors,0.7520091848450058,0.811965811965812,0.6823821339950372,0.009008407592773438
8,Naive Bayes,0.563719862227325,0.43162393162393164,0.71712158808933,0.005004405975341797
9,Neural Networks,0.7520091848450058,0.7585470085470085,0.7444168734491315,8.115374326705933
10,LinearDiscriminantAnalysis,0.6727898966704937,0.6816239316239316,0.6625310173697271,0.0370330810546875
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.0030028820037841797
12,ExtraTreesClassifier,0.748564867967853,0.8739316239316239,0.6029776674937966,14.83948564529419
