,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.6934557979334098,0.688034188034188,0.6997518610421837,0.13512229919433594
1,Bagging Classifier,0.7703788748564868,0.7970085470085471,0.739454094292804,26.236715078353882
2,Logistic Regression,0.7669345579793341,0.7713675213675214,0.7617866004962779,1.0997304916381836
3,Random Forest,0.7382319173363949,0.8611111111111112,0.5955334987593052,3.321017265319824
4,Support Vector Machine,0.7497129735935706,0.7884615384615384,0.7047146401985112,0.41539740562438965
5,Gradient Boosting Machines,0.7554535017221584,0.8247863247863247,0.674937965260546,5.235734224319458
6,AdaBoost,0.7405281285878301,0.7841880341880342,0.6898263027295285,22.54460382461548
7,K-Nearest Neighbors,0.7657864523536165,0.8525641025641025,0.6650124069478908,0.009007930755615234
8,Naive Bayes,0.6096440872560276,0.5683760683760684,0.6575682382133995,0.004003047943115234
9,Neural Networks,0.7680826636050516,0.8055555555555556,0.7245657568238213,7.2380969524383545
10,LinearDiscriminantAnalysis,0.6911595866819747,0.7222222222222222,0.6550868486352357,0.04003620147705078
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.003002643585205078
12,ExtraTreesClassifier,0.7508610792192881,0.9230769230769231,0.5508684863523573,18.663870096206665
