,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.7152698048220436,0.7329059829059829,0.6947890818858561,0.11811375617980957
1,Bagging Classifier,0.8300803673938002,0.8653846153846154,0.7890818858560794,6.261690378189087
2,Logistic Regression,0.8346727898966705,0.8632478632478633,0.8014888337468983,0.0370333194732666
3,Random Forest,0.7795637198622273,0.8931623931623932,0.6476426799007444,2.6417665481567383
4,Support Vector Machine,0.8197474167623421,0.8525641025641025,0.7816377171215881,0.4203813076019287
5,Gradient Boosting Machines,0.7944890929965557,0.8547008547008547,0.7245657568238213,2.8976337909698486
6,AdaBoost,0.7795637198622273,0.7905982905982906,0.7667493796526055,19.164594411849976
7,K-Nearest Neighbors,0.8059701492537313,0.8867521367521367,0.7121588089330024,0.006005287170410156
8,Naive Bayes,0.6934557979334098,0.7414529914529915,0.6377171215880894,0.0010006427764892578
9,Neural Networks,0.8185993111366245,0.8803418803418803,0.7468982630272953,1.5704267024993896
10,LinearDiscriminantAnalysis,0.7680826636050516,0.8183760683760684,0.7096774193548387,0.03903508186340332
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.0
12,ExtraTreesClassifier,0.7876004592422503,0.9722222222222222,0.5732009925558312,20.258368968963623
