,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.6911595866819747,0.688034188034188,0.6947890818858561,0.10909891128540039
1,Bagging Classifier,0.7887485648679678,0.8290598290598291,0.7419354838709677,8.55762505531311
2,Logistic Regression,0.7853042479908151,0.7735042735042735,0.7990074441687345,0.04504084587097168
3,Random Forest,0.7669345579793341,0.9743589743589743,0.5260545905707196,3.424617052078247
4,Support Vector Machine,0.7784156142365097,0.7970085470085471,0.7568238213399504,0.6052279472351074
5,Gradient Boosting Machines,0.7772675086107922,0.9102564102564102,0.6228287841191067,4.6292078495025635
6,AdaBoost,0.7680826636050516,0.8098290598290598,0.7196029776674938,16.4672372341156
7,K-Nearest Neighbors,0.7588978185993112,0.7863247863247863,0.7270471464019851,0.0050046443939208984
8,Naive Bayes,0.7347876004592423,0.7564102564102564,0.7096774193548387,0.0020012855529785156
9,Neural Networks,0.7876004592422503,0.7863247863247863,0.7890818858560794,2.3296687602996826
10,LinearDiscriminantAnalysis,0.7393800229621125,0.7927350427350427,0.6774193548387096,0.026854753494262695
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.0010008811950683594
12,ExtraTreesClassifier,0.7623421354764638,1.0,0.48635235732009924,20.760122299194336
