,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.703788748564868,0.7051282051282052,0.7022332506203474,0.2572345733642578
1,Bagging Classifier,0.7933409873708381,0.8034188034188035,0.7816377171215881,61.83008551597595
2,Logistic Regression,0.7887485648679678,0.7884615384615384,0.7890818858560794,0.16414809226989746
3,Random Forest,0.7921928817451206,0.7927350427350427,0.7915632754342432,5.120483875274658
4,Support Vector Machine,0.7921928817451206,0.8098290598290598,0.771712158808933,1.4703357219696045
5,Gradient Boosting Machines,0.7979334098737084,0.8076923076923077,0.7866004962779156,8.380396842956543
6,AdaBoost,0.7933409873708381,0.7905982905982906,0.7965260545905707,48.02048921585083
7,K-Nearest Neighbors,0.7715269804822044,0.7692307692307693,0.7741935483870968,0.020018815994262695
8,Naive Bayes,0.5843857634902411,0.5555555555555556,0.6178660049627791,0.0050046443939208984
9,Neural Networks,0.748564867967853,0.6645299145299145,0.8461538461538461,7.168634414672852
10,LinearDiscriminantAnalysis,0.7910447761194029,0.8076923076923077,0.771712158808933,0.40436816215515137
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.01901721954345703
12,ExtraTreesClassifier,0.7921928817451206,0.8012820512820513,0.7816377171215881,22.46330690383911
