,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.677382319173364,0.688034188034188,0.6650124069478908,0.14313340187072754
1,Bagging Classifier,0.7428243398392652,0.7414529914529915,0.7444168734491315,24.548600435256958
2,Logistic Regression,0.7393800229621125,0.7478632478632479,0.7295285359801489,1.2271153926849365
3,Random Forest,0.7474167623421355,0.8461538461538461,0.6327543424317618,5.7781195640563965
4,Support Vector Machine,0.7439724454649828,0.7777777777777778,0.7047146401985112,0.8978159427642822
5,Gradient Boosting Machines,0.7416762342135477,0.7884615384615384,0.6873449131513648,6.445348739624023
6,AdaBoost,0.7405281285878301,0.7606837606837606,0.71712158808933,27.33707618713379
7,K-Nearest Neighbors,0.7577497129735936,0.8696581196581197,0.6277915632754343,0.009008407592773438
8,Naive Bayes,0.600459242250287,0.5192307692307693,0.6947890818858561,0.0050046443939208984
9,Neural Networks,0.7405281285878301,0.7606837606837606,0.71712158808933,9.304821729660034
10,LinearDiscriminantAnalysis,0.6624569460390356,0.6816239316239316,0.6401985111662531,0.04403996467590332
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.004003763198852539
12,ExtraTreesClassifier,0.7451205510907003,0.8888888888888888,0.5781637717121588,17.39857006072998
