,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.7152698048220436,0.6987179487179487,0.7344913151364765,0.11907696723937988
1,Bagging Classifier,0.8277841561423651,0.8653846153846154,0.7841191066997518,7.195378065109253
2,Logistic Regression,0.8243398392652124,0.8397435897435898,0.8064516129032258,0.0370335578918457
3,Random Forest,0.7807118254879449,0.9636752136752137,0.5682382133995038,2.987715482711792
4,Support Vector Machine,0.8151549942594719,0.8547008547008547,0.7692307692307693,0.8733022212982178
5,Gradient Boosting Machines,0.7761194029850746,0.8867521367521367,0.6476426799007444,5.380307197570801
6,AdaBoost,0.7726750861079219,0.7948717948717948,0.7468982630272953,20.326385021209717
7,K-Nearest Neighbors,0.7956371986222732,0.905982905982906,0.6674937965260546,0.00700688362121582
8,Naive Bayes,0.7623421354764638,0.8247863247863247,0.6898263027295285,0.004004240036010742
9,Neural Networks,0.8185993111366245,0.8333333333333334,0.8014888337468983,1.6164679527282715
10,LinearDiscriminantAnalysis,0.7841561423650976,0.844017094017094,0.7146401985111662,0.04404091835021973
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.001001119613647461
12,ExtraTreesClassifier,0.764638346727899,0.9978632478632479,0.49379652605459057,16.5936541557312
