,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.6831228473019518,0.6153846153846154,0.7617866004962779,0.07807040214538574
1,Bagging Classifier,0.7910447761194029,0.7927350427350427,0.7890818858560794,8.392043828964233
2,Logistic Regression,0.7772675086107922,0.7628205128205128,0.794044665012407,0.04904460906982422
3,Random Forest,0.7703788748564868,0.9294871794871795,0.5856079404466501,2.6534104347229004
4,Support Vector Machine,0.7956371986222732,0.7948717948717948,0.7965260545905707,0.8477699756622314
5,Gradient Boosting Machines,0.7623421354764638,0.8333333333333334,0.6799007444168734,5.413768291473389
6,AdaBoost,0.7634902411021814,0.7735042735042735,0.7518610421836228,19.87443256378174
7,K-Nearest Neighbors,0.7818599311136625,0.8632478632478633,0.6873449131513648,0.006005287170410156
8,Naive Bayes,0.7313432835820896,0.75,0.7096774193548387,0.001001119613647461
9,Neural Networks,0.7967853042479908,0.7948717948717948,0.7990074441687345,2.9931106567382812
10,LinearDiscriminantAnalysis,0.7324913892078071,0.7713675213675214,0.6873449131513648,0.030027389526367188
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.0010008811950683594
12,ExtraTreesClassifier,0.7692307692307693,0.9829059829059829,0.5210918114143921,15.914983749389648
