,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.703788748564868,0.7478632478632479,0.652605459057072,2.3926897048950195
1,Bagging Classifier,0.7979334098737084,0.8547008547008547,0.7320099255583127,49.73916792869568
2,Logistic Regression,0.7853042479908151,0.8247863247863247,0.739454094292804,0.02502274513244629
3,Random Forest,0.7876004592422503,0.967948717948718,0.5781637717121588,4.736452341079712
4,Support Vector Machine,0.7967853042479908,0.8611111111111112,0.7220843672456576,1.8166148662567139
5,Gradient Boosting Machines,0.7910447761194029,0.9166666666666666,0.6451612903225806,6.1258063316345215
6,AdaBoost,0.7921928817451206,0.8333333333333334,0.7444168734491315,47.52268886566162
7,K-Nearest Neighbors,0.7795637198622273,0.8461538461538461,0.7022332506203474,0.021020889282226562
8,Naive Bayes,0.7876004592422503,0.8183760683760684,0.7518610421836228,0.006004810333251953
9,Neural Networks,0.7818599311136625,0.8611111111111112,0.6898263027295285,3.5527310371398926
10,LinearDiscriminantAnalysis,0.78300803673938,0.8205128205128205,0.739454094292804,0.32529520988464355
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.0030028820037841797
12,ExtraTreesClassifier,0.7818599311136625,0.9957264957264957,0.533498759305211,22.001383781433105
