,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.7060849598163031,0.7457264957264957,0.6600496277915633,0.33228468894958496
1,Bagging Classifier,0.7474167623421355,0.7991452991452992,0.6873449131513648,10.085338592529297
2,Logistic Regression,0.7278989667049368,0.7564102564102564,0.6947890818858561,0.0840764045715332
3,Random Forest,0.7543053960964409,0.9871794871794872,0.4838709677419355,2.960433006286621
4,Support Vector Machine,0.756601607347876,0.8547008547008547,0.6426799007444168,0.5346071720123291
5,Gradient Boosting Machines,0.7611940298507462,0.8931623931623932,0.607940446650124,6.4863646030426025
6,AdaBoost,0.7543053960964409,0.782051282051282,0.7220843672456576,34.35234236717224
7,K-Nearest Neighbors,0.748564867967853,0.8397435897435898,0.6426799007444168,0.013011693954467773
8,Naive Bayes,0.6636050516647531,0.6666666666666666,0.6600496277915633,0.006004810333251953
9,Neural Networks,0.7428243398392652,0.7884615384615384,0.6898263027295285,12.526195287704468
10,LinearDiscriminantAnalysis,0.6900114810562572,0.7564102564102564,0.6129032258064516,0.12911772727966309
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.006005287170410156
12,ExtraTreesClassifier,0.7554535017221584,0.9978632478632479,0.4739454094292804,17.75236439704895
