,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.6865671641791045,0.6923076923076923,0.6799007444168734,0.30127382278442383
1,Bagging Classifier,0.7979334098737084,0.8696581196581197,0.7146401985111662,4.975181341171265
2,Logistic Regression,0.7898966704936854,0.8418803418803419,0.7295285359801489,0.017015933990478516
3,Random Forest,0.7634902411021814,0.9957264957264957,0.49379652605459057,3.110332489013672
4,Support Vector Machine,0.7887485648679678,0.8888888888888888,0.6724565756823822,0.6465880870819092
5,Gradient Boosting Machines,0.764638346727899,0.9273504273504274,0.575682382133995,6.563382863998413
6,AdaBoost,0.7738231917336394,0.8290598290598291,0.7096774193548387,31.435571908950806
7,K-Nearest Neighbors,0.7726750861079219,0.9551282051282052,0.5607940446650124,0.010008573532104492
8,Naive Bayes,0.7577497129735936,0.8076923076923077,0.6997518610421837,0.0020020008087158203
9,Neural Networks,0.7898966704936854,0.8568376068376068,0.7121588089330024,1.6914019584655762
10,LinearDiscriminantAnalysis,0.7692307692307693,0.8717948717948718,0.6501240694789082,0.07285499572753906
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.001001119613647461
12,ExtraTreesClassifier,0.7623421354764638,1.0,0.48635235732009924,25.40849208831787
