,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.7164179104477612,0.7735042735042735,0.6501240694789082,0.14913558959960938
1,Bagging Classifier,0.7611940298507462,0.7948717948717948,0.7220843672456576,2.3644914627075195
2,Logistic Regression,0.746268656716418,0.7435897435897436,0.749379652605459,0.007006406784057617
3,Random Forest,0.7623421354764638,0.9893162393162394,0.4987593052109181,3.8281564712524414
4,Support Vector Machine,0.7703788748564868,0.8354700854700855,0.6947890818858561,0.46942806243896484
5,Gradient Boosting Machines,0.7692307692307693,0.9102564102564102,0.6054590570719603,3.40779447555542
6,AdaBoost,0.7795637198622273,0.8034188034188035,0.7518610421836228,22.029793977737427
7,K-Nearest Neighbors,0.7669345579793341,0.844017094017094,0.6774193548387096,0.007006645202636719
8,Naive Bayes,0.756601607347876,0.8076923076923077,0.6972704714640199,0.0020017623901367188
9,Neural Networks,0.7439724454649828,0.8012820512820513,0.6774193548387096,2.2367260456085205
10,LinearDiscriminantAnalysis,0.7405281285878301,0.7841880341880342,0.6898263027295285,0.04804420471191406
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.0010008811950683594
12,ExtraTreesClassifier,0.7600459242250287,1.0,0.4813895781637717,29.19382333755493
