,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.7003444316877153,0.7542735042735043,0.6377171215880894,0.19517755508422852
1,Bagging Classifier,0.7956371986222732,0.8055555555555556,0.7841191066997518,2.4788978099823
2,Logistic Regression,0.7910447761194029,0.7970085470085471,0.7841191066997518,0.02302074432373047
3,Random Forest,0.7761194029850746,0.9273504273504274,0.6004962779156328,4.821381330490112
4,Support Vector Machine,0.8036739380022963,0.8589743589743589,0.739454094292804,0.46283674240112305
5,Gradient Boosting Machines,0.7864523536165328,0.8910256410256411,0.6650124069478908,3.597219228744507
6,AdaBoost,0.7634902411021814,0.7927350427350427,0.7295285359801489,29.781727075576782
7,K-Nearest Neighbors,0.7669345579793341,0.6581196581196581,0.8933002481389578,0.009007930755615234
8,Naive Bayes,0.582089552238806,0.4658119658119658,0.71712158808933,0.002002239227294922
9,Neural Networks,0.7898966704936854,0.8076923076923077,0.7692307692307693,1.703547716140747
10,LinearDiscriminantAnalysis,0.7623421354764638,0.8012820512820513,0.71712158808933,0.07606935501098633
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.002001523971557617
12,ExtraTreesClassifier,0.7680826636050516,0.9487179487179487,0.5583126550868487,24.563647031784058
