,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.6819747416762342,0.7948717948717948,0.5508684863523573,0.17916369438171387
1,Bagging Classifier,0.7634902411021814,0.7692307692307693,0.7568238213399504,3.1748859882354736
2,Logistic Regression,0.7715269804822044,0.7884615384615384,0.7518610421836228,0.008007287979125977
3,Random Forest,0.7474167623421355,1.0,0.45409429280397023,2.6198902130126953
4,Support Vector Machine,0.7761194029850746,0.8568376068376068,0.6823821339950372,0.41794562339782715
5,Gradient Boosting Machines,0.7428243398392652,0.9465811965811965,0.5062034739454094,3.0825090408325195
6,AdaBoost,0.7577497129735936,0.8611111111111112,0.6377171215880894,20.816828727722168
7,K-Nearest Neighbors,0.764638346727899,0.9551282051282052,0.543424317617866,0.008007287979125977
8,Naive Bayes,0.6704936854190585,0.6303418803418803,0.71712158808933,0.0010008811950683594
9,Neural Networks,0.7623421354764638,0.9038461538461539,0.598014888337469,23.131222248077393
10,LinearDiscriminantAnalysis,0.7324913892078071,0.8418803418803419,0.6054590570719603,0.15414023399353027
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.006004810333251953
12,ExtraTreesClassifier,0.746268656716418,1.0,0.45161290322580644,31.87058711051941
