,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.7164179104477612,0.7136752136752137,0.7196029776674938,1.3081884384155273
1,Bagging Classifier,0.8335246842709529,0.8504273504273504,0.8138957816377171,119.03385519981384
2,Logistic Regression,0.8220436280137773,0.8354700854700855,0.8064516129032258,0.06505990028381348
3,Random Forest,0.8163030998851895,0.8675213675213675,0.7568238213399504,3.535830497741699
4,Support Vector Machine,0.8197474167623421,0.8354700854700855,0.8014888337468983,1.432570219039917
5,Gradient Boosting Machines,0.8002296211251435,0.8269230769230769,0.7692307692307693,5.617094039916992
6,AdaBoost,0.7979334098737084,0.8141025641025641,0.7791563275434243,92.25710701942444
7,K-Nearest Neighbors,0.7979334098737084,0.8311965811965812,0.7593052109181141,0.048043251037597656
8,Naive Bayes,0.653272101033295,0.5811965811965812,0.7369727047146402,0.010008811950683594
9,Neural Networks,0.817451205510907,0.8269230769230769,0.8064516129032258,23.47924780845642
10,LinearDiscriminantAnalysis,0.8289322617680827,0.8376068376068376,0.8188585607940446,0.7525746822357178
11,BernoulliNB,0.6245694603903559,0.6025641025641025,0.6501240694789082,0.0020017623901367188
12,ExtraTreesClassifier,0.8128587830080367,0.8717948717948718,0.7444168734491315,26.560097455978394
