,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.6854190585533869,0.6773504273504274,0.6947890818858561,0.23621296882629395
1,Bagging Classifier,0.730195177956372,0.7414529914529915,0.71712158808933,12.266622066497803
2,Logistic Regression,0.7451205510907003,0.7542735042735043,0.7344913151364765,0.1361234188079834
3,Random Forest,0.7393800229621125,0.8376068376068376,0.6253101736972705,3.488931655883789
4,Support Vector Machine,0.7359357060849598,0.7713675213675214,0.6947890818858561,0.6636025905609131
5,Gradient Boosting Machines,0.7428243398392652,0.7884615384615384,0.6898263027295285,4.05314302444458
6,AdaBoost,0.7451205510907003,0.7649572649572649,0.7220843672456576,28.971316814422607
7,K-Nearest Neighbors,0.7531572904707233,0.8611111111111112,0.6277915632754343,0.012011528015136719
8,Naive Bayes,0.5361653272101033,0.42094017094017094,0.6699751861042184,0.008007287979125977
9,Neural Networks,0.7508610792192881,0.7735042735042735,0.7245657568238213,10.879451036453247
10,LinearDiscriminantAnalysis,0.6946039035591275,0.6965811965811965,0.6923076923076923,0.07907223701477051
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.0050048828125
12,ExtraTreesClassifier,0.7405281285878301,0.8910256410256411,0.56575682382134,15.598142385482788
