,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.687715269804822,0.6837606837606838,0.6923076923076923,0.12811613082885742
1,Bagging Classifier,0.8082663605051664,0.8803418803418803,0.7245657568238213,5.197587490081787
2,Logistic Regression,0.8151549942594719,0.8653846153846154,0.7568238213399504,0.05104637145996094
3,Random Forest,0.7588978185993112,0.9957264957264957,0.4838709677419355,3.7814371585845947
4,Support Vector Machine,0.7967853042479908,0.8696581196581197,0.7121588089330024,0.5904226303100586
5,Gradient Boosting Machines,0.7692307692307693,0.9209401709401709,0.5930521091811415,3.4828920364379883
6,AdaBoost,0.7634902411021814,0.8311965811965812,0.684863523573201,25.928252458572388
7,K-Nearest Neighbors,0.7749712973593571,0.9081196581196581,0.6203473945409429,0.008007526397705078
8,Naive Bayes,0.7370838117106774,0.8290598290598291,0.630272952853598,0.002002716064453125
9,Neural Networks,0.8117106773823192,0.9038461538461539,0.7047146401985112,1.6608555316925049
10,LinearDiscriminantAnalysis,0.7600459242250287,0.8952991452991453,0.6029776674937966,0.06005430221557617
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.002001523971557617
12,ExtraTreesClassifier,0.756601607347876,0.9978632478632479,0.47642679900744417,19.566370725631714
