,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.7347876004592423,0.7948717948717948,0.6650124069478908,0.17916297912597656
1,Bagging Classifier,0.8243398392652124,0.8611111111111112,0.7816377171215881,7.03499436378479
2,Logistic Regression,0.8048220436280138,0.7991452991452992,0.8114143920595533,0.024028778076171875
3,Random Forest,0.7749712973593571,0.9764957264957265,0.5409429280397022,2.651735544204712
4,Support Vector Machine,0.8048220436280138,0.8397435897435898,0.7642679900744417,0.5855331420898438
5,Gradient Boosting Machines,0.7818599311136625,0.905982905982906,0.6377171215880894,5.539925575256348
6,AdaBoost,0.7749712973593571,0.8034188034188035,0.7419354838709677,25.682044982910156
7,K-Nearest Neighbors,0.7692307692307693,0.8397435897435898,0.6873449131513648,0.014013051986694336
8,Naive Bayes,0.746268656716418,0.8076923076923077,0.674937965260546,0.005005598068237305
9,Neural Networks,0.8128587830080367,0.8632478632478633,0.7543424317617866,6.76403546333313
10,LinearDiscriminantAnalysis,0.7680826636050516,0.8504273504273504,0.6724565756823822,0.06405854225158691
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.001001119613647461
12,ExtraTreesClassifier,0.7623421354764638,0.9978632478632479,0.48883374689826303,22.40896439552307
