,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.711825487944891,0.7777777777777778,0.6352357320099256,0.607550859451294
1,Bagging Classifier,0.817451205510907,0.8739316239316239,0.7518610421836228,94.71723580360413
2,Logistic Regression,0.8231917336394948,0.8739316239316239,0.7642679900744417,1.9973063468933105
3,Random Forest,0.7761194029850746,0.9465811965811965,0.5781637717121588,12.74666166305542
4,Support Vector Machine,0.8048220436280138,0.8739316239316239,0.7245657568238213,10.01937985420227
5,Gradient Boosting Machines,0.7956371986222732,0.9337606837606838,0.6352357320099256,8.331807851791382
6,AdaBoost,0.78300803673938,0.8846153846153846,0.6650124069478908,90.40551733970642
7,K-Nearest Neighbors,0.7772675086107922,0.9294871794871795,0.6004962779156328,0.02902674674987793
8,Naive Bayes,0.618828932261768,0.5961538461538461,0.6451612903225806,0.005004167556762695
9,Neural Networks,0.8082663605051664,0.8482905982905983,0.7617866004962779,27.64505648612976
10,LinearDiscriminantAnalysis,0.8117106773823192,0.8354700854700855,0.7841191066997518,1.0044169425964355
11,BernoulliNB,0.5855338691159586,0.6068376068376068,0.5607940446650124,0.0020017623901367188
12,ExtraTreesClassifier,0.7738231917336394,0.9594017094017094,0.5583126550868487,27.564492225646973
