,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.6900114810562572,0.7115384615384616,0.6650124069478908,0.20718860626220703
1,Bagging Classifier,0.7508610792192881,0.7841880341880342,0.7121588089330024,13.68341851234436
2,Logistic Regression,0.7497129735935706,0.7628205128205128,0.7344913151364765,0.2402174472808838
3,Random Forest,0.7554535017221584,0.8482905982905983,0.6476426799007444,3.7338993549346924
4,Support Vector Machine,0.746268656716418,0.7799145299145299,0.707196029776675,0.8507728576660156
5,Gradient Boosting Machines,0.7600459242250287,0.8162393162393162,0.6947890818858561,6.118559837341309
6,AdaBoost,0.7405281285878301,0.7756410256410257,0.6997518610421837,29.36714482307434
7,K-Nearest Neighbors,0.7531572904707233,0.8547008547008547,0.6352357320099256,0.016014814376831055
8,Naive Bayes,0.6176808266360505,0.5149572649572649,0.7369727047146402,0.008007287979125977
9,Neural Networks,0.7405281285878301,0.7478632478632479,0.7320099255583127,15.41901969909668
10,LinearDiscriminantAnalysis,0.711825487944891,0.7264957264957265,0.6947890818858561,0.09008097648620605
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.005004405975341797
12,ExtraTreesClassifier,0.7508610792192881,0.8888888888888888,0.5905707196029777,17.354857921600342
