,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.703788748564868,0.7735042735042735,0.6228287841191067,0.14513158798217773
1,Bagging Classifier,0.835820895522388,0.8952991452991453,0.7667493796526055,5.022642612457275
2,Logistic Regression,0.8300803673938002,0.8653846153846154,0.7890818858560794,0.03000187873840332
3,Random Forest,0.7634902411021814,0.9850427350427351,0.5062034739454094,2.635848045349121
4,Support Vector Machine,0.8117106773823192,0.8653846153846154,0.749379652605459,0.5565049648284912
5,Gradient Boosting Machines,0.7772675086107922,0.9252136752136753,0.6054590570719603,5.520883560180664
6,AdaBoost,0.7818599311136625,0.8290598290598291,0.7270471464019851,27.86840057373047
7,K-Nearest Neighbors,0.7795637198622273,0.8910256410256411,0.6501240694789082,0.009008169174194336
8,Naive Bayes,0.7623421354764638,0.8482905982905983,0.6625310173697271,0.0030024051666259766
9,Neural Networks,0.8243398392652124,0.9081196581196581,0.7270471464019851,1.8376317024230957
10,LinearDiscriminantAnalysis,0.7726750861079219,0.8632478632478633,0.6674937965260546,0.05004549026489258
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.0020020008087158203
12,ExtraTreesClassifier,0.7623421354764638,0.9978632478632479,0.48883374689826303,17.131193161010742
