,Model,Accuracy,Sensitivity,Specificity,Time Taken
0,Decision Tree,0.6969001148105626,0.7158119658119658,0.674937965260546,0.16715240478515625
1,Bagging Classifier,0.7910447761194029,0.7884615384615384,0.794044665012407,5.641033172607422
2,Logistic Regression,0.7921928817451206,0.7735042735042735,0.8138957816377171,0.02502274513244629
3,Random Forest,0.7921928817451206,0.9358974358974359,0.6253101736972705,2.6517200469970703
4,Support Vector Machine,0.7726750861079219,0.7777777777777778,0.7667493796526055,0.6247875690460205
5,Gradient Boosting Machines,0.7784156142365097,0.8504273504273504,0.6947890818858561,6.022916793823242
6,AdaBoost,0.7772675086107922,0.8076923076923077,0.7419354838709677,27.405184984207153
7,K-Nearest Neighbors,0.7336394948335246,0.7243589743589743,0.7444168734491315,0.008008003234863281
8,Naive Bayes,0.7313432835820896,0.7264957264957265,0.7369727047146402,0.0020017623901367188
9,Neural Networks,0.799081515499426,0.8397435897435898,0.7518610421836228,3.742398738861084
10,LinearDiscriminantAnalysis,0.7600459242250287,0.8183760683760684,0.6923076923076923,0.05404925346374512
11,BernoulliNB,0.4626865671641791,0.0,1.0,0.0010013580322265625
12,ExtraTreesClassifier,0.78300803673938,0.9722222222222222,0.5632754342431762,21.263709783554077
